viewCount,likeCount,commentCount,duration_seconds
41344,1580,180,219
49941,1967,182,217
156400,10674,778,301
725594,21333,1076,321
294807,13111,89,31
75131,2316,298,398
11620,814,164,24
110741,2800,311,257
27479,509,148,211
211977,7102,328,333
215717,5168,276,1719
1492952,16823,708,218
1608213,37105,1043,162
29590,1018,215,11557
2853036,42683,881,271
510772,13215,571,125
15226,270,47,154
113093,4416,236,263
9675,295,50,191
2873375,37939,1076,271
195306,4162,114,115
121085,3456,224,285
333312,6024,206,170
347636,6443,212,114
110687,5905,80,27
10324307,3892,348,222
108275,3422,232,238
49023,1328,95,69
1281574,49156,1633,90
35082,964,191,125
22985,760,47,272
22499,952,3,60
52557,2057,17,60
27538,912,55,267
6281,119,16,446
34753,1862,100,169
702159,17616,1391,303
39162,1423,4,57
34705,1433,12,61
67115,6473,93,36
80594,10371,479,221
7015,123,16,252
4204,64,13,172
17117,494,41,181
19305,589,66,187
77855,2793,14,49
7915704,532500,32521,234
37463,1715,9,37
50553,3081,15,53
18851,682,38,4217
25900,1428,7,43
58299,2670,30,55
57088,2408,108,263
97157,2485,11,39
91909,3584,25,48
39592,1572,11,38
88727,2908,16,51
106784,3563,21,44
71143,2865,42,61
55000,2301,32,31
2100927,143798,5572,31
942245,166736,3816,23
1197820,198082,3043,24
1535730,215556,3746,21
2076968,277226,9813,58
2132512,204828,6690,17
2831055,274683,16614,874
1658535,147016,4809,786
2243709,214799,5740,164
7641642,727011,10007,15
8376742,716078,26387,151
14253256,1204498,8148,24
6591608,466350,11794,186
12447771,1234599,9531,22
1479919,137744,3524,617
5840505,349422,11521,180
14247954,497790,12637,180
102617038,3063998,194719,212
2754820,356097,4592,20
2569071,225793,7983,459
4658228,497996,5693,21
4042322,340796,4416,52
1861170,182842,6447,722
4729292,519757,5910,21
2802173,284166,6653,6
3243740,403651,5035,34
1591705,161638,5960,46
1785494,229587,3652,51
1071585,110306,4646,35
528128,72353,2506,47
1508120,392619,19464,165
1378538,203204,5573,827
535515,117291,2412,71
458534,89284,1074,58
3015850,258673,7410,2631
773920,148636,5488,1074
1719964,275291,8942,1514
882992,164231,3173,80
718367,179333,4527,84
1258074,282441,2891,31
1087290,319123,3429,34
1353329,317168,2482,35
1246122,277111,11017,67
1174025,173419,6880,75
1055768,210895,5376,90
1863181,372447,3139,55
1201392,232413,2127,51
5266289,707311,5660,46
13899445,1042404,39069,230
1315348,221700,5694,986
629157,161544,3426,50
4555318,703601,36168,225
439688,138016,1722,15
2433196,401802,10581,35
1993115,285871,9532,158
1112939,222953,5738,97
372747,79819,688,58
1055195,106435,3573,1670
1440441,371200,25291,192
874116,162517,5426,600
48932,8403,280,93
40780,8695,438,88
33137,6880,171,87
56370,10438,231,97
60225,11144,389,67
56569,10806,265,64
173905,26507,346,37
1679838,114221,6447,362
10726139,1598984,122019,265
398403,34895,4996,31
332066,45600,978,264
248234,25860,470,379
298514,33106,607,315
306897,32584,561,318
722359,101424,2221,387
881673,85194,2371,26
13492353,1480740,51324,158
146066,11729,624,183
66190,9830,101,39
100771,8611,281,39
972503,122355,3422,187
100802,15455,184,35
5970136,84330,6767,195
162572,21077,853,30
2696446,329327,21854,163
89730,17720,164,15
319013,50162,1655,15
999844,56724,1484,163
457193,63946,1259,152
116130,20115,275,27
1587825,38297,3325,42
7601759,280767,11340,213
4379022,102978,4950,212
1432274,83964,1765,11
1341392,54302,924,4
2599340,87783,3418,194
37323095,623998,27321,212
1236121,81427,1743,13
847665,50056,1414,6
589030,51001,1044,61
584681,52185,892,16
840063,71574,1232,38
1354913,71051,3051,204
10472168,342400,13249,188
2712877,83193,2840,193
1015384,44014,1826,170
879161,42709,1816,228
580647,22938,1146,216
924409,46083,1978,226
663122,49361,2206,177
575094,36651,1794,205
9132230,336257,9012,213
698237,43157,2218,216
1400320,78152,3842,1971
1250086,86824,1400,16
710286,39657,2122,190
632462,56379,1296,16
1607136,83280,4989,133
1639853,99272,2960,187
1487207,75795,3962,154
22161,276,27,22
24402,359,14,3650
25078,741,4,19
8711,320,0,16
13483,296,15,95
38975,383,26,355
12441,572,2,21
78371,616,26,5669
24659,515,5,21
66385,433,22,180
78802,642,26,5357
140492,780,38,397
180145,1160,34,4233
16879,562,4,16
113609,711,30,225
125088,853,24,2617
21981,655,8,19
15706,572,4,16
127497,705,24,616
12397,609,1,16
22389,817,7,19
222197,1550,25,3373
17860,400,28,111
19182,802,7,22
119274,757,28,611
66897,526,36,3784
47602,1508,13,18
12480,273,12,81
15688,710,5,21
81225,570,32,221
63218,4264,81,22
86610,6909,189,33
288898,16216,142,19
121892,8438,136,32
256724,6588,173,156
256685,7385,303,173
1934648,69326,3622,174
5578218,95789,2477,190
85222,3492,120,219
104225,5081,123,140
111300,7308,75,28
236120,12113,169,34
37542,2790,42,9
238476,5205,213,238
324897,9855,438,172
274963,22587,278,21
85487,3769,196,158
27589,1281,64,180
24019,1448,77,165
2179644,108750,738,13
123744,5708,75,19
135324,5527,64,15
194509,11309,132,20
124011,10647,184,17
372964,11353,321,109
1596631,56063,1196,141
277955,16363,246,26
110916,7267,87,11
209818,14251,196,24
10404168,222854,2390,115
7336760,273011,15554,279
1053741,127397,7824,61
1198456,168951,5348,19
13931184,214902,6386,235
9599478,169832,4976,152
5735516,135130,2753,226
4627058,131936,3835,217
2718029,79745,1694,253
5202744,123330,3316,242
8672928,220480,5608,237
4493046,128495,3783,225
5851093,163673,4239,186
2967698,70120,1354,199
3313136,83269,2217,177
6291514,146385,4116,218
4916407,129670,3336,277
2751186,79203,2369,273
2883867,79368,1667,251
7465776,151540,4127,286
2303066,64593,1335,213
11197802,274489,8644,236
4094832,123318,4793,236
3103739,92642,2771,201
3442433,229216,12236,235
697435,58335,3850,199
