title,upload_date,video_id,viewCount,likeCount,commentCount,durationMs
"ANIMAL:Ranvijay’s Entry Medley (Audio) Ranbir Kapoor |A.R. Rahman,Threeory Band |Sandeep |Bhushan K",2024-01-03T12:03:15Z,sIiAqqaEdaM,41344,1580,180,PT3M39S
"Le Aaunga (Remix) | SatyaPrem Ki Katha | Kartik Aaryan,Kiara Advani | Tanishk Bagchi | Dj Basque",2024-01-03T10:10:43Z,BiUh7tjZHws,49941,1967,182,PT3M37S
Narayan Mil Jayega (Lyrical): Jubin Nautiyal |Payal Dev |Manoj Muntashir Shukla|Kashan|Bhushan Kumar,2024-01-03T03:30:01Z,30YNd5fEGMo,156400,10674,778,PT5M1S
"ANIMAL: Papa Meri Jaan (Full Video) Ranbir Kapoor |Anil K,Rashmika M |Sandeep V|Sonu Nigam|Bhushan K",2024-01-02T13:00:11Z,dTZIa4BnpGE,725594,21333,1076,PT5M21S
Fighter | Hrithik Roshan & Deepika Grooving On #IshqJaisaKuch 😍🔥,2024-01-02T10:58:01Z,u6h5Nfm2Eak,294807,13111,89,PT31S
"Tujhe Bhula Diya (Video) | Bollytech Mix | By DJ Moody | Vishal-Sheykhar | Mohit Chauhan,Shruti",2024-01-02T09:30:05Z,7zMUgKljMic,75131,2316,298,PT6M38S
"Sahiba: Aditya Rikhari, Ankita Chhetri | #YTShorts",2024-01-01T11:30:12Z,L5nyPNlkixo,11620,814,164,PT24S
"Mohabbat Karne Wale (Lyrical): Tulsi Kumar,Sahaj Singh Chahal |Swapnil Tare |Mehdi Hassan |Bhushan K",2024-01-01T05:30:16Z,tmcIXxHAvn8,110741,2800,311,PT4M17S
"Starfish: Kya Humne Socha Tha (Lyrical Video) Khushalii Kumar,Ehan B|OAFF,Nikhil D'Souza,Tulsi Kumar",2023-12-31T11:30:08Z,65a6eydaBic,27479,509,148,PT3M31S
New Year Mashup 2023 - Dj Abhi India | Ultimate Dance Songs |Chaleya |Tere Pyaar Mein |Jedha Nasha,2023-12-31T07:30:09Z,udcHv17jnPw,211977,7102,328,PT5M33S
BOLLYWOOD NEW YEAR PARTY REMIX | NON-STOP | KEDROCK X SD STYLE | T-SERIES,2023-12-31T04:30:04Z,HAK5EstT5Dc,215717,5168,276,PT28M39S
